case	verdict	note
conf-affiliated-header-results-attr-plot	pass	
conf-block-center-parsed	pass	
conf-block-comment-literal	pass	
conf-block-example-literal	pass	
conf-block-example-switches	cannot-represent	example-block switches
conf-block-export-html	pass	
conf-block-quote-parsed	pass	
conf-block-src-literal	pass	
conf-block-src-switches	pass	
conf-block-src-with-params	pass	
conf-block-verse-parsed-objects	pass	
conf-drawer-fused-name	wrong-tree	$.children[0].children[0].children[0].children missing
conf-drawer-simple	pass	
conf-dynamic-block-simple	cannot-represent	node type dynamic-block
conf-easy-comment-line	pass	
conf-easy-commented-headline	pass	
conf-easy-heading-levels	pass	
conf-easy-horizontal-rule	pass	
conf-easy-keyword-simple	pass	
conf-easy-plain-paragraph-multiline	pass	
conf-easy-priority-and-tags-headline	pass	
conf-easy-table-simple	pass	
conf-emphasis-bold-simple	pass	
conf-emphasis-border-reject-midword	pass	
conf-emphasis-border-reject-verbatim-adjacent	pass	
conf-emphasis-code-simple	pass	
conf-emphasis-italic-simple	pass	
conf-emphasis-nested-bold-italic	pass	
conf-emphasis-reject-space-borders	pass	
conf-emphasis-verbatim-inside-bold	pass	
conf-emphasis-verbatim-simple	pass	
conf-fixed-width-simple	pass	
conf-footnote-definition-preblank	pass	
conf-footnote-definition-simple	pass	
conf-footnote-reference-simple	pass	
conf-headline-odd-levels	wrong-tree	$.children[1].children[0].children[0].level: 3 vs 5
conf-keyword-name-attaches-to-table	cannot-represent	affiliated keywords on a table
conf-keyword-nonaffiliated-does-not-attach	pass	
conf-keyword-title-document-level	pass	
conf-latex-fragment-inline	pass	
conf-line-break-in-verse	pass	
conf-line-break-simple	pass	
conf-link-angle	pass	
conf-link-plain	pass	
conf-link-radio	cannot-represent	node type radio-target; radio link
conf-link-regular-no-description	pass	
conf-link-regular-with-description	pass	
conf-list-checkbox-states	pass	
conf-list-counter-override	pass	
conf-list-descriptive-term-def	pass	
conf-list-nested-by-indent	pass	
conf-list-ordered-simple	pass	
conf-list-unordered-simple	pass	
conf-planning-closed	cannot-represent	timestamp dayname
conf-planning-scheduled-and-deadline	cannot-represent	timestamp dayname
conf-planning-scheduled-hugs-headline	cannot-represent	timestamp dayname
conf-property-drawer-after-planning	cannot-represent	timestamp dayname
conf-property-drawer-simple	pass	
conf-skeleton-bare-paragraph	pass	
conf-skeleton-headline-with-section	pass	
conf-skeleton-nested-headline	pass	
conf-statistics-cookie-fraction	pass	
conf-statistics-cookie-percent	pass	
conf-subscript-simple	pass	
conf-superscript-simple	pass	
conf-table-el-flavour	pass	
conf-table-tblfm-multiple	wrong-tree	$.children[0].children[0].tblfm[0]: "$2=1" vs "$3=$1+$2$2=1"
conf-timestamp-active-range	cannot-represent	timestamp rangeType
conf-timestamp-active-simple	cannot-represent	timestamp dayname
conf-timestamp-diary-sexp	cannot-represent	timestamp diary sexp
conf-timestamp-inactive-range	cannot-represent	timestamp rangeType
conf-timestamp-inactive-simple	cannot-represent	timestamp dayname
conf-timestamp-timerange-contraction	cannot-represent	timestamp rangeType
conf-timestamp-with-delay	cannot-represent	timestamp delay
conf-timestamp-with-repeater	cannot-represent	timestamp repeater
conf-timestamp-with-time	cannot-represent	timestamp dayname
conf-todo-default-recognized	pass	
conf-todo-default-unrecognized	pass	
conf-todo-runtime-custom	wrong-tree	$.children[1].title[0].value: "Do thing" vs "NEXT Do thing"
ctl-anglelink	pass	
ctl-cookie-para	pass	
ctl-para-bold	pass	
ctl-plainlink	pass	
ctl-title-bold	pass	
ctl-ts-active	cannot-represent	timestamp dayname
desc-anglelink	pass	
desc-bold	pass	
desc-code	pass	
desc-fnref	pass	
desc-plainlink-only	pass	
desc-plainlink	pass	
desc-radiotarget	pass	
desc-target	pass	
desc-ts-active	pass	
desc-ts-only	pass	
e24-item-empty-cb	pass	
e24-item-empty	pass	
e24-item-pre1	pass	
e24-item-pre2	pass	
f19-00131	wrong-tree	$.children[0].children[0].key: "Aı" vs "AI"
f19-0017F	wrong-tree	$.children[0].children[0].key: "Aſ" vs "AS"
f19-0019B	wrong-tree	$.children[0].children[0].key: "Aƛ" vs "AꟜ"
f19-00264	wrong-tree	$.children[0].children[0].key: "Aɤ" vs "AꟋ"
f19-01C8A	wrong-tree	$.children[0].children[0].key: "Aᲊ" vs "AᲉ"
f19-0A7CD	wrong-tree	$.children[0].children[0].key: "Aꟍ" vs "AꟌ"
f19-0A7CF	wrong-tree	$.children[0].children[0].key: "A꟏" vs "A꟎"
f19-0A7D3	wrong-tree	$.children[0].children[0].key: "Aꟓ" vs "A꟒"
f19-0A7D5	wrong-tree	$.children[0].children[0].key: "Aꟕ" vs "A꟔"
f19-0A7DB	wrong-tree	$.children[0].children[0].key: "Aꟛ" vs "AꟚ"
f19-10D70	wrong-tree	$.children[0].children[0].key: "A𐵰" vs "A𐵐"
f19-10D71	wrong-tree	$.children[0].children[0].key: "A𐵱" vs "A𐵑"
f19-10D72	wrong-tree	$.children[0].children[0].key: "A𐵲" vs "A𐵒"
f19-10D73	wrong-tree	$.children[0].children[0].key: "A𐵳" vs "A𐵓"
f19-10D74	wrong-tree	$.children[0].children[0].key: "A𐵴" vs "A𐵔"
f19-10D75	wrong-tree	$.children[0].children[0].key: "A𐵵" vs "A𐵕"
f19-10D76	wrong-tree	$.children[0].children[0].key: "A𐵶" vs "A𐵖"
f19-10D77	wrong-tree	$.children[0].children[0].key: "A𐵷" vs "A𐵗"
f19-10D78	wrong-tree	$.children[0].children[0].key: "A𐵸" vs "A𐵘"
f19-10D79	wrong-tree	$.children[0].children[0].key: "A𐵹" vs "A𐵙"
f19-10D7A	wrong-tree	$.children[0].children[0].key: "A𐵺" vs "A𐵚"
f19-10D7B	wrong-tree	$.children[0].children[0].key: "A𐵻" vs "A𐵛"
f19-10D7C	wrong-tree	$.children[0].children[0].key: "A𐵼" vs "A𐵜"
f19-10D7D	wrong-tree	$.children[0].children[0].key: "A𐵽" vs "A𐵝"
f19-10D7E	wrong-tree	$.children[0].children[0].key: "A𐵾" vs "A𐵞"
f19-10D7F	wrong-tree	$.children[0].children[0].key: "A𐵿" vs "A𐵟"
f19-10D80	wrong-tree	$.children[0].children[0].key: "A𐶀" vs "A𐵠"
f19-10D81	wrong-tree	$.children[0].children[0].key: "A𐶁" vs "A𐵡"
f19-10D82	wrong-tree	$.children[0].children[0].key: "A𐶂" vs "A𐵢"
f19-10D83	wrong-tree	$.children[0].children[0].key: "A𐶃" vs "A𐵣"
f19-10D84	wrong-tree	$.children[0].children[0].key: "A𐶄" vs "A𐵤"
f19-10D85	wrong-tree	$.children[0].children[0].key: "A𐶅" vs "A𐵥"
f19-16EBB	wrong-tree	$.children[0].children[0].key: "A𖺻" vs "A𖺠"
f19-16EBC	wrong-tree	$.children[0].children[0].key: "A𖺼" vs "A𖺡"
f19-16EBD	wrong-tree	$.children[0].children[0].key: "A𖺽" vs "A𖺢"
f19-16EBE	wrong-tree	$.children[0].children[0].key: "A𖺾" vs "A𖺣"
f19-16EBF	wrong-tree	$.children[0].children[0].key: "A𖺿" vs "A𖺤"
f19-16EC0	wrong-tree	$.children[0].children[0].key: "A𖻀" vs "A𖺥"
f19-16EC1	wrong-tree	$.children[0].children[0].key: "A𖻁" vs "A𖺦"
f19-16EC2	wrong-tree	$.children[0].children[0].key: "A𖻂" vs "A𖺧"
f19-16EC3	wrong-tree	$.children[0].children[0].key: "A𖻃" vs "A𖺨"
f19-16EC4	wrong-tree	$.children[0].children[0].key: "A𖻄" vs "A𖺩"
f19-16EC5	wrong-tree	$.children[0].children[0].key: "A𖻅" vs "A𖺪"
f19-16EC6	wrong-tree	$.children[0].children[0].key: "A𖻆" vs "A𖺫"
f19-16EC7	wrong-tree	$.children[0].children[0].key: "A𖻇" vs "A𖺬"
f19-16EC8	wrong-tree	$.children[0].children[0].key: "A𖻈" vs "A𖺭"
f19-16EC9	wrong-tree	$.children[0].children[0].key: "A𖻉" vs "A𖺮"
f19-16ECA	wrong-tree	$.children[0].children[0].key: "A𖻊" vs "A𖺯"
f19-16ECB	wrong-tree	$.children[0].children[0].key: "A𖻋" vs "A𖺰"
f19-16ECC	wrong-tree	$.children[0].children[0].key: "A𖻌" vs "A𖺱"
f19-16ECD	wrong-tree	$.children[0].children[0].key: "A𖻍" vs "A𖺲"
f19-16ECE	wrong-tree	$.children[0].children[0].key: "A𖻎" vs "A𖺳"
f19-16ECF	wrong-tree	$.children[0].children[0].key: "A𖻏" vs "A𖺴"
f19-16ED0	wrong-tree	$.children[0].children[0].key: "A𖻐" vs "A𖺵"
f19-16ED1	wrong-tree	$.children[0].children[0].key: "A𖻑" vs "A𖺶"
f19-16ED2	wrong-tree	$.children[0].children[0].key: "A𖻒" vs "A𖺷"
f19-16ED3	wrong-tree	$.children[0].children[0].key: "A𖻓" vs "A𖺸"
i1-args-ws	cannot-represent	node type dynamic-block
i1-bare-sp	pass	
i1-bare	pass	
i1-begin-sp	pass	
i1-begin-word	pass	
i1-dyn-empty	cannot-represent	node type dynamic-block
i1-dyn-noargs	cannot-represent	node type dynamic-block
i1-dyn-startup	cannot-represent	node type dynamic-block
i1-dyn-todo	cannot-represent	node type dynamic-block
i1-dyn-unterm	wrong-tree	$.children[0].children[0].children missing
i1-end-alone	pass	
i1-end-args	wrong-tree	$.children[0].children[0].children missing
i1-end-indent	cannot-represent	node type dynamic-block
i1-end-nocolon	cannot-represent	node type dynamic-block
i1-end-sp	cannot-represent	node type dynamic-block
i1-end-tab	cannot-represent	node type dynamic-block
i1-end-under	wrong-tree	$.children[0].children[0].children missing
i1-headline-brk	wrong-tree	$.children[0].children[0].children missing
i1-indent	cannot-represent	node type dynamic-block
i1-lower	cannot-represent	node type dynamic-block
i1-mixed	cannot-represent	node type dynamic-block
i1-multiword	cannot-represent	node type dynamic-block
i1-nested	cannot-represent	node type dynamic-block
i1-nospace	cannot-represent	node type dynamic-block
i1-tab-after	cannot-represent	node type dynamic-block
i16-cite-all-four	wrong-tree	$.children[0].children[0].children[1].children[0].prefix: [{"type": "text", "value": " "}] vs null
i16-cite-at-in-key	pass	
i16-cite-blanks-after-colon	pass	
i16-cite-double-semi	pass	
i16-cite-empty-style	pass	
i16-cite-nested-bracket	pass	
i16-cite-nokey	wrong-tree	$.children[0].children[0].children[0].value: "a [cite:nothing] b\n" vs "a ["
i16-cite-style-slashes	pass	
i16-cite-suffix-has-key	pass	
i16-cite-trailing-ws	wrong-tree	$.children[0].children[0].children[1].children[0].suffix: [{"type": "text", "value": " "}] vs null
i16-cite-two-keys	pass	
i16-cite-unbalanced	wrong-tree	$.children[0].children[0].children[0].value: "a [cite:@a b\n" vs "a ["
i2-cell-bold-cookie	pass	
i2-cell-plain-cookie	pass	
i2-desc-brack-x	pass	
i2-desc-cookie-mid	pass	
i2-desc-cookie-only	pass	
i2-hl-full	pass	
i2-hl-hashA	pass	
i2-hl-lead	pass	
i2-hl-only	pass	
i2-hl-pri-lead	pass	
i2-hl-pri	pass	
i2-hl-slash	pass	
i2-hl-todo	pass	
i2-hl-two	pass	
i2-in-bold	pass	
i2-in-desc	pass	
i2-in-item	wrong-tree	$.children[0].children[0].children[0].children[0].children[1].postBlank: 0 vs 1
i2-in-verse	wrong-tree	$.children[0].children[0].children[0].postBlank: 0 vs 1
i2-no-alpha	pass	
i2-no-dot	pass	
i2-no-empty	pass	
i2-no-leadsp	pass	
i2-no-neg	pass	
i2-no-pctpct	pass	
i2-no-pctx	pass	
i2-no-slsl	pass	
i2-no-sp1	pass	
i2-no-sp2	pass	
i2-no-three	pass	
i2-no-trailsp	pass	
i2-no-xnum	pass	
i2-ok-hundred	pass	
i2-ok-numslash	pass	
i2-ok-pct	pass	
i2-ok-pctonly	pass	
i2-ok-slash	pass	
i2-ok-slashnum	pass	
i2-ok-wide	pass	
i2-ok-zero	pass	
i26-col0-bullet	pass	
i26-col0-clock	cannot-represent	timestamp dayname
i26-col0-comment	pass	
i26-col0-diary	pass	
i26-col0-drawer	pass	
i26-col0-dynblk	cannot-represent	node type dynamic-block
i26-col0-fixedw	pass	
i26-col0-fndef	pass	
i26-col0-hr	pass	
i26-col0-hrshort	pass	
i26-col0-keyword	pass	
i26-col0-latexenv	wrong-tree	$.children[0].children[0].value: "\\begin{equation}\nx\n\\end{equation}\n" vs "\\begin{equation}\nx\n\\end{equation}"
i26-col0-planning	cannot-represent	timestamp dayname
i26-col0-propdrw	pass	
i26-col0-srcblk	pass	
i26-col0-table	pass	
i26-col0-telgrid	pass	
i26-fndef-bullet	pass	
i26-fndef-clock	cannot-represent	timestamp dayname
i26-fndef-comment	pass	
i26-fndef-diary	pass	
i26-fndef-drawer	wrong-tree	$.children[0].children[0].children[0].children[0].value: ":D:\n:END:\n" vs ":D:\n"
i26-fndef-dynblk	pass	
i26-fndef-fixedw	pass	
i26-fndef-fndef	pass	
i26-fndef-hr	pass	
i26-fndef-hrshort	pass	
i26-fndef-keyword	pass	
i26-fndef-latexenv	pass	
i26-fndef-planning	cannot-represent	timestamp dayname
i26-fndef-propdrw	wrong-tree	$.children[0].children[0].children[0].children[0].value: ":PROPERTIES:\n:K: v\n:END:\n" vs ":PROPERTIES:\n:K: v\n"
i26-fndef-srcblk	pass	
i26-fndef-table	pass	
i26-fndef-telgrid	pass	
i26-item-bullet	pass	
i26-item-clock	cannot-represent	timestamp dayname
i26-item-comment	pass	
i26-item-diary	pass	
i26-item-drawer	wrong-tree	$.children[0].children[1].children: length 1 vs 0
i26-item-dynblk	pass	
i26-item-fixedw	pass	
i26-item-fndef	pass	
i26-item-hr	pass	
i26-item-hrshort	pass	
i26-item-keyword	pass	
i26-item-latexenv	pass	
i26-item-planning	cannot-represent	timestamp dayname
i26-item-propdrw	wrong-tree	$.children[0].children[1].children[0].value: ":K: v\n:END:\n" vs ":K: v\n"
i26-item-srcblk	pass	
i26-item-table	pass	
i26-item-telgrid	pass	
i28-a01-name-before	pass	
i28-a02-caption-before	pass	
i28-a03-zeroth-name-before	pass	
i28-h01-first	pass	
i28-h02-after-planning	cannot-represent	timestamp dayname
i28-h03-after-blank	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i28-h04-planning-blank	cannot-represent	timestamp dayname
i28-h05-after-para	pass	
i28-h06-after-comment	pass	
i28-h07-after-keyword	pass	
i28-h08-after-drawer	pass	
i28-h09-tags-priority	pass	
i28-h10-l2-first	pass	
i28-h11-after-para-blank	pass	
i28-h12-second-propdrw	pass	
i28-h13-after-list	pass	
i28-h14-commented-headline	pass	
i28-h15-zeroth-then-headline	pass	
i28-n01-item-own-line	pass	
i28-n02-item-first	pass	
i28-n03-fndef-own-line	pass	
i28-n04-fndef-after-para	pass	
i28-n05-quote-first	pass	
i28-n06-center-first	pass	
i28-n07-in-drawer	wrong-tree	$.children[0].children[1].children: length 1 vs 0
i28-n09-quote-in-headline	pass	
i28-n10-item-in-headline-first	pass	
i28-s01-lowercase	pass	
i28-s02-mixedcase	pass	
i28-s03-indented	pass	
i28-s04-indent-open-only	pass	
i28-s05-trailing-space	pass	
i28-s06-zeroth-lowercase	pass	
i28-s07-upper-open-lower-end	pass	
i28-s08-lower-open-upper-end	pass	
i28-t01-empty	pass	
i28-t02-nonproperty-line	pass	
i28-t03-blank-inside	pass	
i28-t04-append-key	pass	
i28-t05-no-value	wrong-tree	$.children[0].children[0].children[0].children[0].value: "" vs null
i28-t06-unterminated	pass	
i28-t07-two-props	pass	
i28-t08-zeroth-nonproperty	pass	
i28-t09-zeroth-empty	pass	
i28-t10-unterminated-into-headline	pass	
i28-t11-zeroth-unterminated-into-headline	pass	
i28-t12-comment-drw-drw	pass	
i28-z01-line1	pass	
i28-z02-after-comment	pass	
i28-z03-after-2comments	pass	
i28-z04-after-keyword	pass	
i28-z05-after-para	pass	
i28-z06-after-blank	pass	
i28-z07-comment-blank	wrong-tree	$.children[0].children[0].postBlank: 1 vs 0
i28-z08-comment-blank-comment	wrong-tree	$.children[0].children[0].postBlank: 1 vs 0
i28-z09-after-para-blank	pass	
i28-z10-after-drawer	pass	
i28-z11-blank-then-comment	pass	
i28-z12-after-comment-para	pass	
i28-z13-second-propdrw	pass	
i29-call-basic	cannot-represent	node type inline-babel-call
i29-call-emptyargs	cannot-represent	node type inline-babel-call
i29-call-full	cannot-represent	node type inline-babel-call
i29-call-nobrace	pass	
i29-call-unclosed	pass	
i29-call-word-sub	pass	
i29-nolang	pass	
i29-plain-sub	pass	
i29-prefixed	pass	
i29-src-bare	pass	
i29-src-basic	cannot-represent	node type inline-src-block
i29-src-emptybody	cannot-represent	node type inline-src-block
i29-src-headers	cannot-represent	node type inline-src-block
i29-src-nestbrace	cannot-represent	node type inline-src-block
i29-src-nobrace	pass	
i29-src-unclosed	pass	
i29-src-word-sub	pass	
i29-upper	pass	
i29b-call-noparen	pass	
i29b-letter-before	pass	
i29b-paren-before	cannot-represent	node type inline-src-block
i29b-punct-before	cannot-represent	node type inline-src-block
i29b-space-brace	pass	
i29b-src-open-only	pass	
i3-accent	pass	
i3-bol	pass	
i3-brace-empty	wrong-tree	$.children[0].children[0].children[1].children: length 0 vs 1
i3-brace-nest	pass	
i3-brace-open	pass	
i3-bs-sub	pass	
i3-bs-sup	pass	
i3-caret-star	pass	
i3-cjk	pass	
i3-dcaret	pass	
i3-dot-stop	pass	
i3-dunder	pass	
i3-eol	pass	
i3-mix-brace	pass	
i3-mix-digit	wrong-tree	$.children[0].children[0].children[1].children[0].value: "1٣" vs "1"
i3-mix-greek	pass	
i3-mix-mid	pass	
i3-mix-paren	wrong-tree	$.children[0].children[0].children[1].children[0].value: "(bé)" vs "bé"
i3-mix-tail	pass	
i3-mix-tail2	pass	
i3-mix-tail3	pass	
i3-nbsp-pre	pass	
i3-opt-braces	pass	
i3-paren-nest	wrong-tree	$.children[0].children[0].children[1].children[0].value: "(b (c) d)" vs "b (c) d"
i3-paren-open	pass	
i3-paren	wrong-tree	$.children[0].children[0].children[1].children[0].value: "(b)" vs "b"
i3-sign-only	pass	
i3-snake	pass	
i3-space	pass	
i3-star-alone	pass	
i3-star	pass	
i3-under-sub	pass	
i3-underline	pass	
i3-ws-pre	pass	
i30-backslash-before	pass	
i30-backslash-call	pass	
i30-body-space	cannot-represent	node type inline-src-block
i30-bold-letter	pass	
i30-bold-start	cannot-represent	node type inline-src-block
i30-call-eh-unbalanced	cannot-represent	node type inline-babel-call
i30-digit-before	pass	
i30-dollar-before	pass	
i30-dollar-call	pass	
i30-linestart-call	cannot-represent	node type inline-babel-call
i30-linestart	cannot-represent	node type inline-src-block
i30-param-empty	cannot-represent	node type inline-src-block
i30-param-newline	cannot-represent	node type inline-src-block
i30-param-spacing	cannot-represent	node type inline-src-block
i30-percent-before	pass	
i30-quote-before	pass	
i30-two-brackets	pass	
i30-underscore-before	cannot-represent	node type inline-src-block
i4-after-para	pass	
i4-bare	pass	
i4-col0	pass	
i4-colon	pass	
i4-def-postblank2	pass	
i4-gate-caption-fn	cannot-represent	affiliated keywords on a table
i4-gate-caption-inl	cannot-represent	affiliated keywords on a table
i4-gate-caption-ok	cannot-represent	affiliated keywords on a table
i4-gate-cookie-only	pass	
i4-gate-fn-inline	pass	
i4-gate-fn-only	pass	
i4-in-item	pass	
i4-in-quote	pass	
i4-indent1	pass	
i4-indent2	pass	
i4-inl-brack	wrong-tree	$.children[0].children[0].children[1].children[0].value: "a [b] c" vs "a [b"
i4-inl-brackets	wrong-tree	$.children[0].children[0].children[1].children[0].value: "[]" vs "["
i4-inl-close2	pass	
i4-inl-empty	pass	
i4-inl-in-def	pass	
i4-inl-link	wrong-tree	$.children[0].children[0].children[1].children[0].value: "see " vs "see [["
i4-inl-multiline	pass	
i4-inl-named-brack	wrong-tree	$.children[0].children[0].children[1].children[0].value: "a [b] c" vs "a [b"
i4-inl-nested	wrong-tree	$.children[0].children[0].children[1].children[0].value: "a " vs "a [fn::b"
i4-inl-unclosed	pass	
i4-inline	pass	
i4-label-dash	pass	
i4-label-dot	pass	
i4-label-none	pass	
i4-label-sp	pass	
i4-label-uni	wrong-tree	$.children[0].children[0].children[0].children missing
i4-named-inl	pass	
i4-nospace	pass	
i4-preblank-1	pass	
i4-preblank-2	pass	
i4-preblank-3	pass	
i4-preblank-4	pass	
i4-preblank-5	pass	
i4-ref-cell	pass	
i4-ref-in-def	pass	
i4-ref-para	pass	
i4-ref-title	pass	
i4-ref-two	pass	
i4-ref-upper	pass	
i4-t-1blank	pass	
i4-t-2blank	pass	
i4-t-after-drawer	pass	
i4-t-dup-label	pass	
i4-t-eof	pass	
i4-t-fnsection	pass	
i4-t-headline	pass	
i4-t-hr	pass	
i4-t-in-item	pass	
i4-t-indented	pass	
i4-t-keyword	pass	
i4-t-next-fn	pass	
i4-t-postblank	pass	
i4-t-src	pass	
i4-t-table	pass	
i4-t-unindented	pass	
i4-to-headline	pass	
i4-two-defs	pass-structure	postBlank/preBlank bookkeeping only
i4-unclosed	pass	
i4t-blank1	pass	
i4t-blank2	pass	
i4t-bullet	pass	
i4t-center	pass	
i4t-clock	cannot-represent	timestamp dayname
i4t-colon0	pass	
i4t-comment	pass	
i4t-commentblk	pass	
i4t-diary	pass	
i4t-drawer	pass	
i4t-dynblk	cannot-represent	node type dynamic-block
i4t-example	pass	
i4t-fixedw	pass	
i4t-fndef	pass	
i4t-hashplus	pass	
i4t-headline	pass	
i4t-headline2	pass	
i4t-hr	pass	
i4t-indented	pass	
i4t-keyword	pass	
i4t-latexenv	wrong-tree	$.children[0].children[0].children[1].value: "\\begin{equation}\nx\n\\end{equation}\n" vs "\\begin{equation}\nx\n\\end{equation}"
i4t-ordered	pass	
i4t-plaintext	pass	
i4t-planning	cannot-represent	timestamp dayname
i4t-propdrw	pass	
i4t-quote	pass	
i4t-srcblk	pass	
i4t-table	pass	
i4t-verse	pass	
i5-adjacent	pass	
i5-bare-paren	pass	
i5-bracket-empty	pass	
i5-bracket	pass	
i5-close-bracket	pass	
i5-close-only	pass	
i5-command	pass	
i5-cost1	pass	
i5-cost2	pass	
i5-dollar-dot	pass	
i5-dollar-no	pass	
i5-dollar-sp	pass	
i5-dollar	pass	
i5-dollar2	pass	
i5-empty	pass	
i5-entity-br	pass	
i5-entity-us	pass	
i5-entity	pass	
i5-in-bold	pass	
i5-in-cell	pass	
i5-in-desc	pass	
i5-in-item	pass	
i5-in-radio	cannot-represent	node type radio-target
i5-in-title	pass	
i5-lb-vs-bracket	pass	
i5-mixed-close	pass	
i5-multiline	pass	
i5-nested-same	pass	
i5-open	pass	
i5-title-lb-and-frag	pass	
i5-two	pass	
i6-after-text	pass	
i6-before-text	pass	
i6-caption	pass	
i6-data-first	pass	
i6-equals	pass	
i6-grid	pass	
i6-in-title	pass	
i6-indented	wrong-tree	$.children[0].children[0].children unexpected
i6-inline	pass	
i6-minimal	pass	
i6-name	pass	
i6-no-close	pass	
i6-no-close2	pass	
i6-plus-item	pass	
i6-postblank	pass	
i6-rule-alone	pass	
i6-rule-wide	pass	
i6-short	pass	
i6-short2	pass	
i6-tblfm	pass	
i6-text-mid	pass	
i6-three	wrong-tree	$.children[0].children[0].children unexpected
i6-trail-data	wrong-tree	$.children[0].children[0].children missing
i6-two-rules	wrong-tree	$.children[0].children[0].children unexpected
i6e-blank-breaks	pass	
i6e-both-rules	pass	
i6e-endrule-then-txt	pass	
i6e-no-end-rule	pass	
i6e-plus-nodash	pass	
i6e-rule-then-text	pass	
i6e-single-rule	pass	
i6e-two-rules-only	wrong-tree	$.children[0].children[0].children unexpected
i6s-D	pass	
i6s-DD	pass	
i6s-DDD	pass	
i6s-DDDD	pass	
i6s-DDDR	pass	
i6s-DDR	pass	
i6s-DDRD	pass	
i6s-DDRR	wrong-tree	$.children[0].children[1].children unexpected
i6s-DR	pass	
i6s-DRD	pass	
i6s-DRDD	pass	
i6s-DRDR	pass	
i6s-DRR	wrong-tree	$.children[0].children[1].children unexpected
i6s-DRRD	pass	
