case	verdict	note
cit-min	cannot-represent	node type citation; node type citation-reference
cit-multi-mixed	cannot-represent	node type citation; node type citation-reference
cit-multi	cannot-represent	node type citation; node type citation-reference
cit-no-key	pass	
cit-prefix-bold	cannot-represent	node type citation; node type citation-reference
cit-ref-both	cannot-represent	node type citation; node type citation-reference
cit-ref-prefix	cannot-represent	node type citation; node type citation-reference
cit-ref-suffix	cannot-represent	node type citation; node type citation-reference
cit-semi-only	cannot-represent	node type citation; node type citation-reference
cit-space-before-colon	pass	
cit-style-empty	pass	
cit-style-punct	cannot-represent	node type citation; node type citation-reference
cit-style-variant	cannot-represent	node type citation; node type citation-reference
cit-style	cannot-represent	node type citation; node type citation-reference
cit-suffix-code	cannot-represent	node type citation; node type citation-reference
cit-trailing-semi	cannot-represent	node type citation; node type citation-reference
cit-uni-key	cannot-represent	node type citation; node type citation-reference
cmt-hash-space	pass	
cmt-hash-tab-after-text	wrong-tree	$.children[0].children[0].children[0].value: "text\n#\tc\n" vs "text\n"
cmt-hash-tab-alone	wrong-tree	$.children[0].children[0].children missing
cmt-hash-tab-tab	wrong-tree	$.children[0].children[0].children missing
cmt-hash-tab	wrong-tree	$.children[0].children[0].children missing
conf-affiliated-caption-forms	cannot-represent	dual CAPTION[short]
conf-affiliated-header-results-attr-plot	cannot-represent	affiliated key ATTR_LATEX; affiliated key HEADER; affiliated key PLOT; affiliated key RESULTS
conf-block-center-parsed	pass	
conf-block-comment-literal	pass	
conf-block-example-literal	pass	
conf-block-example-switches	pass	
conf-block-export-html	pass	
conf-block-quote-parsed	pass	
conf-block-src-literal	pass	
conf-block-src-switches	cannot-represent	src-block switches (fused into the language token)
conf-block-src-with-params	pass	
conf-block-verse-parsed-objects	pass	
conf-drawer-fused-name	pass	
conf-drawer-simple	pass	
conf-dynamic-block-simple	cannot-represent	node type dynamic-block
conf-easy-comment-line	pass	
conf-easy-commented-headline	cannot-represent	commented headline
conf-easy-heading-levels	pass	
conf-easy-horizontal-rule	pass	
conf-easy-keyword-simple	pass	
conf-easy-plain-paragraph-multiline	pass	
conf-easy-priority-and-tags-headline	pass	
conf-easy-table-simple	pass	
conf-emphasis-bold-simple	pass	
conf-emphasis-border-reject-midword	pass	
conf-emphasis-border-reject-verbatim-adjacent	pass	
conf-emphasis-code-simple	pass	
conf-emphasis-italic-simple	pass	
conf-emphasis-nested-bold-italic	pass	
conf-emphasis-reject-space-borders	wrong-tree	$.children[0].children[0].postBlank: 1 vs 0
conf-emphasis-verbatim-inside-bold	pass	
conf-emphasis-verbatim-simple	pass	
conf-fixed-width-simple	pass	
conf-footnote-definition-preblank	cannot-represent	preBlank
conf-footnote-definition-simple	pass	
conf-footnote-reference-simple	pass	
conf-headline-odd-levels	wrong-tree	$.children[1].children[0].children[0].level: 3 vs 5
conf-keyword-name-attaches-to-table	pass	
conf-keyword-nonaffiliated-does-not-attach	pass	
conf-keyword-title-document-level	pass	
conf-latex-fragment-inline	pass	
conf-line-break-in-verse	pass	
conf-line-break-simple	pass	
conf-link-angle	cannot-represent	angle link
conf-link-plain	pass	
conf-link-radio	cannot-represent	node type radio-target
conf-link-regular-no-description	pass	
conf-link-regular-with-description	pass	
conf-list-checkbox-states	pass	
conf-list-counter-override	cannot-represent	item counter
conf-list-descriptive-term-def	pass	
conf-list-nested-by-indent	pass	
conf-list-ordered-simple	pass	
conf-list-unordered-simple	pass	
conf-planning-closed	cannot-represent	node type planning; timestamp dayname (normalized through time.Time); timestamp kind inactive (only the active <...> form is parsed)
conf-planning-scheduled-and-deadline	cannot-represent	node type planning; timestamp dayname (normalized through time.Time)
conf-planning-scheduled-hugs-headline	cannot-represent	node type planning; timestamp dayname (normalized through time.Time)
conf-property-drawer-after-planning	cannot-represent	node type planning; timestamp dayname (normalized through time.Time)
conf-property-drawer-simple	pass	
conf-skeleton-bare-paragraph	pass	
conf-skeleton-headline-with-section	pass	
conf-skeleton-nested-headline	pass	
conf-statistics-cookie-fraction	pass	
conf-statistics-cookie-percent	pass	
conf-subscript-simple	cannot-represent	bare (unbraced) sub/superscript
conf-superscript-simple	cannot-represent	bare (unbraced) sub/superscript
conf-table-el-flavour	cannot-represent	table.el table
conf-table-tblfm-multiple	wrong-tree	$.children[0].children[0].tblfm: ["$2=1", "$3=$1+$2"] vs null
conf-timestamp-active-range	cannot-represent	timestamp dayname (normalized through time.Time); timestamp kind active-range (only the active <...> form is parsed); timestamp range
conf-timestamp-active-simple	cannot-represent	timestamp dayname (normalized through time.Time)
conf-timestamp-diary-sexp	cannot-represent	timestamp kind diary (only the active <...> form is parsed)
conf-timestamp-inactive-range	cannot-represent	timestamp dayname (normalized through time.Time); timestamp kind inactive-range (only the active <...> form is parsed); timestamp range
conf-timestamp-inactive-simple	cannot-represent	timestamp dayname (normalized through time.Time); timestamp kind inactive (only the active <...> form is parsed)
conf-timestamp-timerange-contraction	cannot-represent	timestamp dayname (normalized through time.Time); timestamp kind active-range (only the active <...> form is parsed); timestamp range
conf-timestamp-with-delay	cannot-represent	timestamp dayname (normalized through time.Time); timestamp delay
conf-timestamp-with-repeater	cannot-represent	timestamp dayname (normalized through time.Time)
conf-timestamp-with-time	cannot-represent	timestamp dayname (normalized through time.Time)
conf-todo-default-recognized	pass	
conf-todo-default-unrecognized	pass	
conf-todo-runtime-custom	pass	
ctl-anglelink	cannot-represent	angle link
ctl-cookie-para	pass	
ctl-para-bold	pass	
ctl-plainlink	pass	
ctl-title-bold	pass	
ctl-ts-active	cannot-represent	timestamp dayname (normalized through time.Time)
desc-anglelink	wrong-tree	$.children[0].children[0].children[0].description[0].value: "see <http://y> now" vs "see <"
desc-bold	pass	
desc-code	pass	
desc-fnref	wrong-tree	$.children[0].children[0].children[0].description[0].value: "a [fn:1] b" vs "a "
desc-plainlink-only	wrong-tree	$.children[0].children[0].children[0].description[0].description unexpected
desc-plainlink	wrong-tree	$.children[0].children[0].children[0].description[0].value: "see http://y now" vs "see "
desc-radiotarget	pass	
desc-target	pass	
desc-ts-active	wrong-tree	$.children[0].children[0].children[0].description[0].value: "at <2024-01-01 Mon> ok" vs "at "
desc-ts-only	wrong-tree	$.children[0].children[0].children[0].description[0].delay unexpected
e24-item-empty-cb	wrong-tree	$.children[0].children[0].children[0].checkbox: "off" vs null
e24-item-empty	wrong-tree	$.children[0].children[0].children[1].bullet: "-" vs "- "
e24-item-pre1	cannot-represent	preBlank
e24-item-pre2	cannot-represent	preBlank
f19-00131	wrong-tree	$.children[0].children[0].key: "Aı" vs "AI"
f19-0017F	wrong-tree	$.children[0].children[0].key: "Aſ" vs "AS"
f19-0019B	pass	
f19-00264	pass	
f19-01C8A	pass	
f19-0A7CD	pass	
f19-0A7CF	pass	
f19-0A7D3	pass	
f19-0A7D5	pass	
f19-0A7DB	pass	
f19-10D70	pass	
f19-10D71	pass	
f19-10D72	pass	
f19-10D73	pass	
f19-10D74	pass	
f19-10D75	pass	
f19-10D76	pass	
f19-10D77	pass	
f19-10D78	pass	
f19-10D79	pass	
f19-10D7A	pass	
f19-10D7B	pass	
f19-10D7C	pass	
f19-10D7D	pass	
f19-10D7E	pass	
f19-10D7F	pass	
f19-10D80	pass	
f19-10D81	pass	
f19-10D82	pass	
f19-10D83	pass	
f19-10D84	pass	
f19-10D85	pass	
f19-16EBB	pass	
f19-16EBC	pass	
f19-16EBD	pass	
f19-16EBE	pass	
f19-16EBF	pass	
f19-16EC0	pass	
f19-16EC1	pass	
f19-16EC2	pass	
f19-16EC3	pass	
f19-16EC4	pass	
f19-16EC5	pass	
f19-16EC6	pass	
f19-16EC7	pass	
f19-16EC8	pass	
f19-16EC9	pass	
f19-16ECA	pass	
f19-16ECB	pass	
f19-16ECC	pass	
f19-16ECD	pass	
f19-16ECE	pass	
f19-16ECF	pass	
f19-16ED0	pass	
f19-16ED1	pass	
f19-16ED2	pass	
f19-16ED3	pass	
i1-args-ws	cannot-represent	node type dynamic-block
i1-bare-sp	pass	
i1-bare	pass	
i1-begin-sp	pass	
i1-begin-word	pass	
i1-dyn-empty	cannot-represent	node type dynamic-block
i1-dyn-noargs	cannot-represent	node type dynamic-block
i1-dyn-startup	cannot-represent	node type dynamic-block
i1-dyn-todo	cannot-represent	node type dynamic-block
i1-dyn-unterm	wrong-tree	$.children[0].children[0].children missing
i1-end-alone	pass	
i1-end-args	wrong-tree	$.children[0].children[0].children missing
i1-end-indent	cannot-represent	node type dynamic-block
i1-end-nocolon	cannot-represent	node type dynamic-block
i1-end-sp	cannot-represent	node type dynamic-block
i1-end-tab	cannot-represent	node type dynamic-block
i1-end-under	cannot-represent	bare (unbraced) sub/superscript
i1-headline-brk	wrong-tree	$.children[0].children[0].children missing
i1-indent	cannot-represent	node type dynamic-block
i1-lower	cannot-represent	node type dynamic-block
i1-mixed	cannot-represent	node type dynamic-block
i1-multiword	cannot-represent	node type dynamic-block
i1-nested	cannot-represent	node type dynamic-block
i1-nospace	cannot-represent	node type dynamic-block
i1-tab-after	cannot-represent	node type dynamic-block
i16-cite-all-four	cannot-represent	node type citation; node type citation-reference
i16-cite-at-in-key	cannot-represent	node type citation; node type citation-reference
i16-cite-blanks-after-colon	cannot-represent	node type citation; node type citation-reference
i16-cite-double-semi	cannot-represent	node type citation; node type citation-reference
i16-cite-empty-style	pass	
i16-cite-nested-bracket	cannot-represent	node type citation; node type citation-reference
i16-cite-nokey	pass	
i16-cite-style-slashes	cannot-represent	node type citation; node type citation-reference
i16-cite-suffix-has-key	cannot-represent	node type citation; node type citation-reference
i16-cite-trailing-ws	cannot-represent	node type citation; node type citation-reference
i16-cite-two-keys	cannot-represent	node type citation; node type citation-reference
i16-cite-unbalanced	pass	
i2-cell-bold-cookie	pass	
i2-cell-plain-cookie	wrong-tree	$.children[0].children[0].children[0].children[0].children[0].postBlank unexpected
i2-desc-brack-x	pass	
i2-desc-cookie-mid	pass	
i2-desc-cookie-only	pass	
i2-hl-full	pass	
i2-hl-hashA	pass	
i2-hl-lead	pass	
i2-hl-only	pass	
i2-hl-pri-lead	pass	
i2-hl-pri	pass	
i2-hl-slash	wrong-tree	$.children[0].title[0].value: "Task " vs "Task [/] more"
i2-hl-todo	pass	
i2-hl-two	pass	
i2-in-bold	pass	
i2-in-desc	pass	
i2-in-item	pass	
i2-in-verse	pass	
i2-no-alpha	pass	
i2-no-dot	pass	
i2-no-empty	pass	
i2-no-leadsp	pass	
i2-no-neg	pass	
i2-no-pctpct	pass	
i2-no-pctx	pass	
i2-no-slsl	pass	
i2-no-sp1	pass	
i2-no-sp2	pass	
i2-no-three	pass	
i2-no-trailsp	pass	
i2-no-xnum	pass	
i2-ok-hundred	pass	
i2-ok-numslash	wrong-tree	$.children[0].children[0].children[0].value: "a " vs "a [1/] b\n"
i2-ok-pct	pass	
i2-ok-pctonly	wrong-tree	$.children[0].children[0].children[0].value: "a " vs "a [%] b\n"
i2-ok-slash	wrong-tree	$.children[0].children[0].children[0].value: "a " vs "a [/] b\n"
i2-ok-slashnum	wrong-tree	$.children[0].children[0].children[0].value: "a " vs "a [/2] b\n"
i2-ok-wide	pass	
i2-ok-zero	pass	
i26-col0-bullet	pass	
i26-col0-clock	cannot-represent	node type clock; timestamp dayname (normalized through time.Time); timestamp kind inactive (only the active <...> form is parsed)
i26-col0-comment	pass	
i26-col0-diary	cannot-represent	node type diary-sexp
i26-col0-drawer	pass	
i26-col0-dynblk	cannot-represent	node type dynamic-block
i26-col0-fixedw	pass	
i26-col0-fndef	pass	
i26-col0-hr	pass	
i26-col0-hrshort	pass	
i26-col0-keyword	pass	
i26-col0-latexenv	pass	
i26-col0-planning	cannot-represent	timestamp dayname (normalized through time.Time)
i26-col0-propdrw	pass	
i26-col0-srcblk	pass	
i26-col0-table	pass	
i26-col0-telgrid	cannot-represent	table.el table
i26-fndef-bullet	wrong-tree	$.children[0].children[0].children[0].children[0].bullet unexpected
i26-fndef-clock	cannot-represent	timestamp dayname (normalized through time.Time); timestamp kind inactive (only the active <...> form is parsed)
i26-fndef-comment	wrong-tree	$.children[0].children[0].children[0].children missing
i26-fndef-diary	pass	
i26-fndef-drawer	wrong-tree	$.children[0].children[0].children[0].children: length 1 vs 0
i26-fndef-dynblk	wrong-tree	$.children[0].children[0].children[0].children missing
i26-fndef-fixedw	wrong-tree	$.children[0].children[0].children[0].children missing
i26-fndef-fndef	pass	
i26-fndef-hr	wrong-tree	$.children[0].children[0].children[0].children missing
i26-fndef-hrshort	pass	
i26-fndef-keyword	wrong-tree	$.children[0].children[0].children[0].children missing
i26-fndef-latexenv	wrong-tree	$.children[0].children[0].children[0].children missing
i26-fndef-planning	cannot-represent	timestamp dayname (normalized through time.Time)
i26-fndef-propdrw	wrong-tree	$.children[0].children[0].children[0].children[0].key unexpected
i26-fndef-srcblk	cannot-represent	bare (unbraced) sub/superscript
i26-fndef-table	wrong-tree	$.children[0].children[0].children[0].children[0].children unexpected
i26-fndef-telgrid	pass	
i26-item-bullet	wrong-tree	$.children[0].children[0].children[0].children[0].children[0].bullet unexpected
i26-item-clock	cannot-represent	timestamp dayname (normalized through time.Time); timestamp kind inactive (only the active <...> form is parsed)
i26-item-comment	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i26-item-diary	pass	
i26-item-drawer	wrong-tree	$.children[0].children[0].children[0].children[0].children: length 1 vs 0
i26-item-dynblk	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i26-item-fixedw	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i26-item-fndef	pass	
i26-item-hr	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i26-item-hrshort	pass	
i26-item-keyword	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i26-item-latexenv	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i26-item-planning	cannot-represent	timestamp dayname (normalized through time.Time)
i26-item-propdrw	wrong-tree	$.children[0].children[1].children[0].value: ":K: v\n:END:\n" vs ":K: v\n"
i26-item-srcblk	cannot-represent	bare (unbraced) sub/superscript
i26-item-table	wrong-tree	$.children[0].children[0].children[0].children[0].children[0].children unexpected
i26-item-telgrid	pass	
i28-a01-name-before	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i28-a02-caption-before	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i28-a03-zeroth-name-before	wrong-tree	$.children[0].children[0].children[0].children missing
i28-h01-first	pass	
i28-h02-after-planning	cannot-represent	node type planning; timestamp dayname (normalized through time.Time)
i28-h03-after-blank	cannot-represent	preBlank
i28-h04-planning-blank	cannot-represent	node type planning; timestamp dayname (normalized through time.Time)
i28-h05-after-para	wrong-tree	$.children[0].children[0].children[1].children[0].children missing
i28-h06-after-comment	wrong-tree	$.children[0].children[0].children[1].children[0].children missing
i28-h07-after-keyword	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i28-h08-after-drawer	wrong-tree	$.children[0].children[0].children[1].children[0].children missing
i28-h09-tags-priority	pass	
i28-h10-l2-first	pass	
i28-h11-after-para-blank	wrong-tree	$.children[0].children[0].children[0].postBlank: 1 vs 0
i28-h12-second-propdrw	wrong-tree	$.children[0].children[0].children[1].children[0].children missing
i28-h13-after-list	wrong-tree	$.children[0].children[0].children[1].children[0].children missing
i28-h14-commented-headline	cannot-represent	commented headline
i28-h15-zeroth-then-headline	pass	
i28-n01-item-own-line	wrong-tree	$.children[0].children[0].children[0].children[1].children[0].children missing
i28-n02-item-first	cannot-represent	preBlank
i28-n03-fndef-own-line	cannot-represent	preBlank
i28-n04-fndef-after-para	wrong-tree	$.children[0].children[0].children[1].children[0].children missing
i28-n05-quote-first	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i28-n06-center-first	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i28-n07-in-drawer	wrong-tree	$.children[0].children[0].children[0].children[0].value: ":PROPERTIES:\n:K: v\n" vs ":PROPERTIES:\n"
i28-n09-quote-in-headline	wrong-tree	$.children[0].children[0].children[0].children[0].children[0].children missing
i28-n10-item-in-headline-first	wrong-tree	$.children[0].children[0].children[0].children[0].children[1].children[0].children missing
i28-s01-lowercase	pass	
i28-s02-mixedcase	pass	
i28-s03-indented	pass	
i28-s04-indent-open-only	pass	
i28-s05-trailing-space	pass	
i28-s06-zeroth-lowercase	pass	
i28-s07-upper-open-lower-end	pass	
i28-s08-lower-open-upper-end	pass	
i28-t01-empty	wrong-tree	$.children[0].children: length 1 vs 0
i28-t02-nonproperty-line	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i28-t03-blank-inside	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
i28-t04-append-key	pass	
i28-t05-no-value	wrong-tree	$.children[0].children[0].children[0].children[0].value: "" vs null
i28-t06-unterminated	pass	
i28-t07-two-props	pass	
i28-t08-zeroth-nonproperty	wrong-tree	$.children[0].children[0].children[0].children missing
i28-t09-zeroth-empty	pass	
i28-t10-unterminated-into-headline	pass	
i28-t11-zeroth-unterminated-into-headline	pass	
i28-t12-comment-drw-drw	wrong-tree	$.children[0].children[2].children[0].children missing
i28-z01-line1	pass	
i28-z02-after-comment	pass	
i28-z03-after-2comments	wrong-tree	$.children[0].children[0].value: "c\nd" vs "c"
i28-z04-after-keyword	wrong-tree	$.children[0].children[1].children[0].children missing
i28-z05-after-para	wrong-tree	$.children[0].children[1].children[0].children missing
i28-z06-after-blank	wrong-tree	$.children[0].children[0].children: length 1 vs 0
i28-z07-comment-blank	wrong-tree	$.children[0].children[0].postBlank: 1 vs 0
i28-z08-comment-blank-comment	wrong-tree	$.children[0].children[0].postBlank: 1 vs 0
i28-z09-after-para-blank	wrong-tree	$.children[0].children[0].postBlank: 1 vs 0
i28-z10-after-drawer	wrong-tree	$.children[0].children[1].children[0].children missing
i28-z11-blank-then-comment	wrong-tree	$.children[0].children[0].children unexpected
i28-z12-after-comment-para	wrong-tree	$.children[0].children[2].children[0].children missing
i28-z13-second-propdrw	wrong-tree	$.children[0].children[1].children[0].children missing
i29-call-basic	cannot-represent	node type inline-babel-call
i29-call-emptyargs	cannot-represent	node type inline-babel-call
i29-call-full	cannot-represent	node type inline-babel-call
i29-call-nobrace	cannot-represent	bare (unbraced) sub/superscript
i29-call-unclosed	cannot-represent	bare (unbraced) sub/superscript
i29-call-word-sub	cannot-represent	bare (unbraced) sub/superscript
i29-nolang	pass	
i29-plain-sub	cannot-represent	bare (unbraced) sub/superscript
i29-prefixed	cannot-represent	bare (unbraced) sub/superscript
i29-src-bare	pass	
i29-src-basic	pass	
i29-src-emptybody	pass	
i29-src-headers	pass	
i29-src-nestbrace	pass	
i29-src-nobrace	cannot-represent	bare (unbraced) sub/superscript
i29-src-unclosed	cannot-represent	bare (unbraced) sub/superscript
i29-src-word-sub	cannot-represent	bare (unbraced) sub/superscript
i29-upper	cannot-represent	bare (unbraced) sub/superscript
i29b-call-noparen	cannot-represent	bare (unbraced) sub/superscript
i29b-letter-before	cannot-represent	bare (unbraced) sub/superscript
i29b-paren-before	wrong-tree	$.children[0].children[0].children[0].value: "a (" vs "a (src_python{x}) b\n"
i29b-punct-before	wrong-tree	$.children[0].children[0].children[0].value: "a -" vs "a -src_python{x} b\n"
i29b-space-brace	cannot-represent	bare (unbraced) sub/superscript
i29b-src-open-only	cannot-represent	bare (unbraced) sub/superscript
i3-accent	cannot-represent	bare (unbraced) sub/superscript
i3-bol	pass	
i3-brace-empty	wrong-tree	$.children[0].children[0].children[0].value: "a" vs "a_{} end\n"
i3-brace-nest	wrong-tree	$.children[0].children[0].children[0].value: "a" vs "a_{b {c} d} end\n"
i3-brace-open	pass	
i3-bs-sub	cannot-represent	bare (unbraced) sub/superscript
i3-bs-sup	wrong-tree	$.children[0].children[0].children[0].value: "a^" vs "a^\\z end\n"
i3-caret-star	cannot-represent	bare (unbraced) sub/superscript
i3-cjk	cannot-represent	bare (unbraced) sub/superscript
i3-dcaret	cannot-represent	bare (unbraced) sub/superscript
i3-dot-stop	cannot-represent	bare (unbraced) sub/superscript
i3-dunder	cannot-represent	bare (unbraced) sub/superscript
i3-eol	pass	
i3-mix-brace	pass	
i3-mix-digit	cannot-represent	bare (unbraced) sub/superscript
i3-mix-greek	cannot-represent	bare (unbraced) sub/superscript
i3-mix-mid	cannot-represent	bare (unbraced) sub/superscript
i3-mix-paren	cannot-represent	bare (unbraced) sub/superscript
i3-mix-tail	cannot-represent	bare (unbraced) sub/superscript
i3-mix-tail2	cannot-represent	bare (unbraced) sub/superscript
i3-mix-tail3	cannot-represent	bare (unbraced) sub/superscript
i3-nbsp-pre	pass	
i3-opt-braces	cannot-represent	bare (unbraced) sub/superscript
i3-paren-nest	cannot-represent	bare (unbraced) sub/superscript
i3-paren-open	pass	
i3-paren	cannot-represent	bare (unbraced) sub/superscript
i3-sign-only	pass	
i3-snake	cannot-represent	bare (unbraced) sub/superscript
i3-space	pass	
i3-star-alone	cannot-represent	bare (unbraced) sub/superscript
i3-star	cannot-represent	bare (unbraced) sub/superscript
i3-under-sub	cannot-represent	bare (unbraced) sub/superscript
i3-underline	pass	
i3-ws-pre	pass	
i30-backslash-before	cannot-represent	bare (unbraced) sub/superscript
i30-backslash-call	cannot-represent	bare (unbraced) sub/superscript
i30-body-space	pass	
i30-bold-letter	cannot-represent	bare (unbraced) sub/superscript
i30-bold-start	pass	
i30-call-eh-unbalanced	cannot-represent	node type inline-babel-call
i30-digit-before	cannot-represent	bare (unbraced) sub/superscript
i30-dollar-before	cannot-represent	bare (unbraced) sub/superscript
i30-dollar-call	cannot-represent	bare (unbraced) sub/superscript
i30-linestart-call	cannot-represent	node type inline-babel-call
i30-linestart	pass	
i30-param-empty	pass	
i30-param-newline	wrong-tree	$.children[0].children[0].children[0].value: "a " vs "a src_py[p\n  q]{x} b\n"
i30-param-spacing	pass	
i30-percent-before	cannot-represent	bare (unbraced) sub/superscript
i30-quote-before	cannot-represent	bare (unbraced) sub/superscript
i30-two-brackets	cannot-represent	bare (unbraced) sub/superscript
i30-underscore-before	wrong-tree	$.children[0].children[0].children[0].value: "a _" vs "a _src_python{x} b\n"
i4-after-para	pass	
i4-bare	wrong-tree	$.children[0].children[0].children: length 0 vs 1
i4-col0	pass	
i4-colon	wrong-tree	$.children[0].children[0].children[0].children missing
i4-def-postblank2	wrong-tree	$.children[0].children[0].children: length 1 vs 2
i4-gate-caption-fn	wrong-tree	$.children[0].children[0].affiliated[0].value[0].long[0].value: "a [fn:1] b" vs "a "
i4-gate-caption-inl	wrong-tree	$.children[0].children[0].affiliated[0].value[0].long[0].value: "a [fn::z] b" vs "a "
i4-gate-caption-ok	pass	
i4-gate-cookie-only	pass	
i4-gate-fn-inline	pass	
i4-gate-fn-only	pass	
i4-in-item	pass	
i4-in-quote	pass	
i4-indent1	wrong-tree	$.children[0].children[0].children[0].inline unexpected
i4-indent2	wrong-tree	$.children[0].children[0].children[0].inline unexpected
i4-inl-brack	wrong-tree	$.children[0].children[0].children[1].children[0].value: "a [b] c" vs "a [b"
i4-inl-brackets	wrong-tree	$.children[0].children[0].children[1].children[0].value: "[]" vs "["
i4-inl-close2	pass	
i4-inl-empty	wrong-tree	$.children[0].children[0].children[0].value: "x " vs "x [fn::] y\n"
i4-inl-in-def	pass	
i4-inl-link	wrong-tree	$.children[0].children[0].children[1].children[0].value: "see " vs "see [["
i4-inl-multiline	wrong-tree	$.children[0].children[0].children[0].value: "x " vs "x [fn::a\nb] y\n"
i4-inl-named-brack	wrong-tree	$.children[0].children[0].children[1].children[0].value: "a [b] c" vs "a [b"
i4-inl-nested	wrong-tree	$.children[0].children[0].children[1].children[0].value: "a " vs "a [fn::b"
i4-inl-unclosed	pass	
i4-inline	pass	
i4-label-dash	pass	
i4-label-dot	pass	
i4-label-none	pass	
i4-label-sp	pass	
i4-label-uni	wrong-tree	$.children[0].children[0].children[0].children missing
i4-named-inl	pass	
i4-nospace	wrong-tree	$.children[0].children[0].children[0].children missing
i4-preblank-1	cannot-represent	preBlank
